#  log(age)     mini          mact           logl     logt  phase
    6.6000    0.1500000060    0.1500000000   -2.5228    3.5108   0.0
    6.6000    0.2000000030    0.2000000000   -2.2579    3.5306   0.0
    6.6000    0.2500000000    0.2500000000   -2.0763    3.5408   0.0
    6.6000    0.3000000119    0.3000000000   -1.9241    3.5512   0.0
    6.6000    0.3499999940    0.3500000000   -1.7864    3.5610   0.0
    6.6000    0.4000000060    0.4000000000   -1.6526    3.5697   0.0
    6.6000    0.4499999881    0.4500000000   -1.5270    3.5790   0.0
    6.6000    0.5000000000    0.5000000000   -1.4066    3.5893   0.0
    6.6000    0.5500000119    0.5500000000   -1.2833    3.6003   0.0
    6.6000    0.6000000238    0.6000000000   -1.1658    3.6141   0.0
    6.6000    0.6999999881    0.7000000000   -0.9129    3.6403   0.0
    6.6000    0.8000000119    0.8000000000   -0.6613    3.6697   0.0
    6.6000    0.8999999762    0.9000000000   -0.4200    3.7040   0.0
    6.6000    1.0000000000    1.0000000000   -0.1909    3.7354   0.0
    6.6000    1.1000000238    1.1000000000    0.0060    3.7595   0.0
    6.6000    1.2000000477    1.2000000000    0.1944    3.7805   0.0
    6.6000    1.2999999523    1.3000000000    0.3747    3.8028   0.0
    6.6000    1.3999999762    1.4000000000    0.5250    3.8210   0.0
    6.6000    1.5000000000    1.5000000000    0.6576    3.8392   0.0
    6.6000    1.6000000238    1.6000000000    0.7824    3.8593   0.0
    6.6000    1.7000000477    1.7000000000    0.9003    3.8818   0.0
    6.6000    1.7999999523    1.8000000000    1.0139    3.9028   0.0
    6.6000    1.8999999762    1.9000000000    1.0992    3.9219   0.0
    6.6000    2.0000000000    2.0000000000    1.1873    3.9391   0.0
    6.6000    2.0999999046    2.1000000000    1.2711    3.9555   0.0
    6.6000    2.2000000477    2.2000000000    1.3512    3.9703   0.0
    6.6000    2.2999999523    2.3000000000    1.4322    3.9852   0.0
    6.6000    2.5000000000    2.5000000000    1.5719    4.0113   0.0
    6.6000    3.0000000000    3.0000000000    1.8816    4.0677   0.0
    6.6000    3.5000000000    3.5000000000    2.1355    4.1126   0.0
    6.6000    4.0000000000    4.0000000000    2.3498    4.1514   0.0
    6.6000    4.5000000000    4.5000000000    2.5408    4.1844   0.0
    6.6000    5.0000000000    5.0000000000    2.7164    4.2139   0.0
    6.6000    5.6980743408    5.6981000000    2.9224    4.2483   0.0
    6.6000    6.0000000000    6.0000000000    3.0040    4.2619   0.0
    6.6000    7.0000000000    7.0000000000    3.2498    4.3016   0.0
    6.6000    9.0000000000    9.0000000000    3.6352    4.3703   0.0
    6.6000   12.0000000000   12.0000000000    4.0676    4.4316   0.0
    6.6000   13.0872526169   13.0755000000    4.1930    4.4479   0.0
    6.6000   15.0000000000   14.9573000000    4.3970    4.4727   0.0
    6.6000   19.6199378967   19.5149000000    4.7705    4.5114   0.0
    6.6000   20.0000000000   19.8839000000    4.7982    4.5135   0.0
    6.6000   25.8010158539   25.1161000000    5.1082    4.5274   0.0
    6.6000   30.0000000000   28.5460000000    5.2932    4.5201   0.0
    6.6000   30.6300392151   29.0279000000    5.3147    4.5182   0.0
    6.6000   36.4752960205   32.9317000000    5.4967    4.4664   0.0
    6.6000   40.0000000000   34.6173000000    5.5927    4.3825   0.0
    6.6000   42.0425300598   35.5367000000    5.6402    4.3323   0.0
    6.6000   44.0552139282   36.0817000000    5.6859    4.2237   0.0
    6.6000   44.5717926025   34.2896000000    5.6770    4.0766   0.0
    6.6000   48.3553466797   30.6378000000    5.7531    4.2728   0.0
    6.6000   50.3962364197   30.6083000000    5.7959    4.3421   0.0
    6.6000   50.7067832947   30.5930000000    5.8121    4.3797   0.0
    6.6000   50.7805290222   30.5603000000    5.8270    4.4234   0.0
    6.6000   50.8108291626   30.5395000000    5.8414    4.4762   0.0
    6.6000   50.8279495239   30.5256000000    5.8475    4.4373   0.0
    6.6000   50.8339958191   30.5207000000    5.8510    4.3937   0.0
    6.6000   50.8390388489   30.5166000000    5.8550    4.3426   0.0
    6.6000   50.8413085938   30.5148000000    5.8575    4.3118   0.0
    6.6000   50.8438262939   30.5128000000    5.8605    4.2750   0.0
    6.6000   50.8463478088   30.5009000000    5.8633    4.2443   0.0
    6.6000   50.8488693237   30.4492000000    5.8659    4.2142   0.0
    6.6000   50.8513908386   30.3975000000    5.8683    4.1816   0.0
    6.6000   50.8539123535   30.3438000000    5.8710    4.1406   0.0
    6.6000   50.8564338684   30.2815000000    5.8740    4.0894   0.0
    6.6000   50.8587036133   30.2033000000    5.8766    4.0339   0.0
    6.6000   50.8609733582   30.1229000000    5.8803    4.0168   0.0
    6.6000   50.8629913330   30.0533000000    5.8814    3.9605   0.0
    6.6000   50.8650131226   29.9725000000    5.8829    3.9348   0.0
    6.6000   50.8665237427   29.9122000000    5.8843    3.9203   0.0
    6.6000   50.8672790527   29.8792000000    5.8864    3.9160   0.0
